Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
SessionManagerV7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getOrderEntryV7,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,getQuoteV7,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
SessionManagerV8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getTradingClassStatusQuery,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
SessionManagerV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getOrderEntryV9,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
SessionManagerTMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getTradeMaintenanceService,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,
SessionManagerV6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getOrderQueryV6,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,getFloorTradeMaintenanceService,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,
FloorSessionManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getService,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getOrderManagementService,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getParOrderManagementService,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getActivityHistoryService,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
UserAccess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
UserAccessV6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
UserAccessV7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
UserAccessV8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
UserAccessV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
UserAccessTMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,
UserAccessV5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
UserAccessFloor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getSessionManager,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
MarketQueryV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthUpdate,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthUpdate,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getMarketDataHistoryByTime,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTicker,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTicker,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeExpectedOpeningPrice,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeExpectedOpeningPrice,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTickerForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTickerForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTickerForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTickerForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeExpectedOpeningPriceForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeExpectedOpeningPriceForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeExpectedOpeningPriceForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeExpectedOpeningPriceForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthUpdateForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthUpdateForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthUpdateForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthUpdateForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getBookDepthDetails,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
RemoteMarketQuery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeCurrentMarketForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTickerForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTickerForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeExpectedOpeningPriceForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeExpectedOpeningPriceForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
QuoteV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptQuote,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,acceptQuotesForClass,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,getQuote,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeQuoteStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,subscribeQuoteStatusForFirm,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeQuoteStatusForFirm,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,cancelQuote,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,cancelAllQuotes,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,cancelQuotesByClass,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeQuoteStatusByClass,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeRFQ,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeRFQ,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteStatusWithoutPublish,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteStatusForFirmWithoutPublish,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,acceptQuotesForClassV2,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteStatusV2,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeQuoteStatusV2,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,subscribeQuoteStatusForFirmV2,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeQuoteStatusForFirmV2,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteStatusForClassV2,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeQuoteStatusForClassV2,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,subscribeQuoteStatusForFirmForClassV2,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeQuoteStatusForFirmForClassV2,,,x,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeQuoteLockedNotification,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeQuoteLockedNotification,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,subscribeQuoteLockedNotificationForClass,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeQuoteLockedNotificationForClass,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,subscribeRFQV2,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeRFQV2,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
OrderQueryV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getOrdersForProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrdersForSession,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrderById,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,subscribeOrdersByFirm,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeOrders,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrdersForType,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrdersForClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,queryOrderHistory,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,getPendingAdjustmentOrdersByProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getPendingAdjustmentOrdersByClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusForProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusForSession,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusForFirm,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeAllOrderStatusForType,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusByClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrdersByFirmWithoutPublish,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrdersWithoutPublish,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrderStatusV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrderStatusForClassV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusForClassV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrderStatusForFirmV2,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeOrderStatusForFirmV2,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeOrderStatusForFirmForClassV2,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeOrderStatusForFirmForClassV2,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
OrderQueryV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getOrdersForProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrdersForSession,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrderById,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,subscribeOrdersByFirm,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeOrders,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrdersForType,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrdersForClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,queryOrderHistory,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,getPendingAdjustmentOrdersByProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getPendingAdjustmentOrdersByClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusForProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusForSession,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusForFirm,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeAllOrderStatusForType,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusByClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrdersByFirmWithoutPublish,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrdersWithoutPublish,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrderStatusV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrderStatusForClassV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,unsubscribeOrderStatusForClassV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,subscribeOrderStatusForFirmV2,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeOrderStatusForFirmV2,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeOrderStatusForFirmForClassV2,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeOrderStatusForFirmForClassV2,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,,
,subscribeAuctionForClass,x,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,unsubscribeAuctionForClass,x,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
MarketQueryV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeBookDepthUpdate,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeBookDepthUpdate,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getBookDepth,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getMarketDataHistoryByTime,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForClass,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForProduct,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeTicker,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeTicker,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeExpectedOpeningPrice,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeExpectedOpeningPrice,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeRecapForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeRecapForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
OrderQueryV6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getOrdersForProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getOrdersForSession,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,getOrderById,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,x,x,,,,,,,,
,subscribeOrdersByFirm,,,,,x,,x,x,,x,,,,,x,,,,x,x,,,,,,,,
,subscribeOrders,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,getOrdersForType,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,getOrdersForClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,queryOrderHistory,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,x,x,,,,,,,,
,getPendingAdjustmentOrdersByProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,getPendingAdjustmentOrdersByClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatusForProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatusForSession,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatusForFirm,,,,,x,,x,x,,x,,,,,x,,,,x,x,,,,,,,,
,unsubscribeAllOrderStatusForType,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatusByClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,subscribeOrdersByFirmWithoutPublish,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,subscribeOrdersWithoutPublish,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,subscribeOrderStatusV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatusV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,subscribeOrderStatusForClassV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,unsubscribeOrderStatusForClassV2,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,x,x,,,,,,,,
,subscribeOrderStatusForFirmV2,,,,,x,,x,x,,x,,,,,x,,,,x,x,,,,,,,,
,unsubscribeOrderStatusForFirmV2,,,,,x,,x,x,,x,,,,,x,,,,x,x,,,,,,,,
,subscribeOrderStatusForFirmForClassV2,,,,,x,,x,x,,x,,,,,x,,,,x,x,,,,,,,,
,unsubscribeOrderStatusForFirmForClassV2,,,,,x,,x,x,,x,,,,,x,,,,x,x,,,,,,,,
,subscribeAuctionForClass,x,,x,,,,,x,,x,,,,,x,,,,x,x,,,,,,,,
,unsubscribeAuctionForClass,x,,x,,,,,x,,x,,,,,x,,,,x,x,,,,,,,,
,subscribeCurrentMarketForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeCurrentMarketForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeCurrentMarketForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForClassV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,subscribeNBBOForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeNBBOForProductV2,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
