Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
,unsubscribeOrderStatusForTradingFirmUser,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
ProductCacheControlService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,refreshProductStateForClasses,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
ProductConfigurationService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getSuperGroupsForGroup,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,getSubGroupsForGroup,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,createGroupType,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,createGroup,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addSubGroupByKey,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addSubGroup,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProductClassToGroup,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProductClassToGroupByKey,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removeProductClassFromGroup,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removeProductClassFromGroupByKey,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removeSubGroup,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removeSubGroupByKey,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,moveProductClassToGroup,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,moveProductClassToGroupByKey,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getGroupsByType,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,getGroupKeysForProductClass,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,getGroupsForProductClass,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesForGroup,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesForGroupByKey,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,getGroupTypes,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,getGroupKey,x,x,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,,
,updateGroupType,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
ProductDefinitionInterface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,underlyingUpdateComplete,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,reportingClassUpdateComplete,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,defineClasses,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,updateProductDescription,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
ProductMaintenanceService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
